green_screen_freeze,users claim they have a frozen green screen when openning an app,green_screen_freeze - users claim they have a frozen green screen when openning an app
daily_streaks,users claim daily streaks functionality is broken,daily_streaks - users claim daily streaks functionality is broken
broken_content,users claim the content is broken,broken_content - users claim the content is broken
smth_went_wrong_screen,"users claim they see a ""Something went wrong screen""","smth_went_wrong_screen - users claim they see a ""Something went wrong screen"""
font_size,users claim they have issues with font size in app,font_size - users claim they have issues with font size in app
paid_but_no_access,users claim they paid but then are asked to pay again in app (they have locked content),paid_but_no_access - users claim they paid but then are asked to pay again in app (they have locked content)
other,users claim they have technical issues that aren't described in other tags,other - users claim they have technical issues that aren't described in other tags
content_mistakes,users sharing what they noticed mistakes in content,content_mistakes - users sharing what they noticed mistakes in content
,, - 
audio_feedback,users sharing what they would like to see with audio functionality,audio_feedback - users sharing what they would like to see with audio functionality
video_feedback,users sharing what they would like to see with video functionality,video_feedback - users sharing what they would like to see with video functionality
not_interactive,users sharing what they would like to see more interactiviness,not_interactive - users sharing what they would like to see more interactiviness
offline_availability ,users sharing what they like to download content and use it while being offline,offline_availability  - users sharing what they like to download content and use it while being offline
content_too_easy,users sharing what they would like to see more complicated content,content_too_easy - users sharing what they would like to see more complicated content
missing_content,user doesn't see the content they were looking for or not enough content,missing_content - user doesn't see the content they were looking for or not enough content
ai_dissatisfaction,users realize that it's AI generated and are not happy with it (too robotic / AI slop / etc),ai_dissatisfaction - users realize that it's AI generated and are not happy with it (too robotic / AI slop / etc)
ux_feedback,"users don't like the navigation, repetitive feedback requests, can't find how to change topic, etc","ux_feedback - users don't like the navigation, repetitive feedback requests, can't find how to change topic, etc"
other,,other - 
